Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty
0,18939,10683/14558,Ophicleide,Unknown,Unknown,0,0,2,Unknown,Unknown,2
1,19064,10683/14558,Mouthpiece,Unknown,Unknown,0,1574,1,England,London,2
2,18181,10683/14558,Cornet,Unknown,Unknown,0,1586,1,England,London,2
3,176934,10683/14558,Panpipe,Flutes,Wind,1988,1594,1,Unknown,Unknown,0
4,176936,10683/14558,Panpipe,Flutes,Wind,1988,1605,1,Unknown,Unknown,0
5,176937,10683/14558,Unknown,Unknown,Unknown,1610,1625,1,Italy,Venice,0
6,176942,10683/14558,Bagpipe,Bagpipes,Wind,1770,1625,1,Unknown,Unknown,1
7,176945,10683/14558,Unknown,Unknown,Unknown,0,1629,1,Unknown,Unknown,1
8,176950,10683/14558,Unknown,Unknown,Unknown,1801,1635,1,Unknown,Unknown,1
9,176953,10683/14558,Unknown,Unknown,Unknown,1830,1642,1,Scotland,Edinburgh,0
10,176956,10683/14558,Unknown,Unknown,Unknown,0,1655,1,Unknown,Unknown,2
11,176959,10683/14558,Unknown,Unknown,Unknown,1901,1655,1,Unknown,Unknown,1
12,176962,10683/14558,Unknown,Unknown,Unknown,1901,1665,1,Unknown,Unknown,2
13,176963,10683/14558,Double flageolet,Flutes,Wind,0,1678,1,France,Paris,0
14,176968,10683/14558,Unknown,Unknown,Unknown,0,1685,1,England,London,0
15,176951,10683/14558,Valve horn,Horns,Wind,0,1685,1,England,London,0
16,176948,10683/14558,Valve horn,Horns,Wind,1879,1699,1,England,London,0
17,176973,10683/14558,Valve trumpet,Trumpets,Wind,1835,1700,1,Unknown,Unknown,1
18,176969,10683/14558,Ballad horn,Saxhorns,Wind,0,1700,1,England,London,0
19,176970,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,1704,1,England,London,0
20,176971,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,1705,1,Unknown,Unknown,2
21,176983,10683/14558,Unknown,Unknown,Unknown,0,1705,1,Unknown,Unknown,2
22,176984,10683/14558,Unknown,Unknown,Unknown,0,1709,1,Unknown,Unknown,2
23,176977,10683/14558,Flicorno,Saxhorns,Wind,1865,1710,1,Italy,Milan,0
24,176978,10683/14558,Clarinet,Clarinets,Wind,1909,1717,1,France,Paris,0
25,176979,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1833,1725,1,Unknown,Unknown,2
26,176980,10683/14558,Clarinet,Clarinets,Wind,1924,1725,1,France,Paris,0
27,176981,10683/14558,Cornopean,Cornets,Wind,1830,1725,1,England,Birmingham,0
28,176982,10683/14558,Clarinet,Clarinets,Wind,1929,1725,1,France,Paris,0
29,176985,10683/14558,Valve trumpet,Trumpets,Wind,0,1730,1,England,London,0
